"","subject","trial","vocoded","mean_pupil"
"515","EYE_32",31,"NS",-0.0260498867253718
"516","EYE_32",32,"NS",0.0679923956249859
"517","EYE_32",33,"NS",0.00332844976241205
"518","EYE_32",34,"NS",-0.0574422669037931
"519","EYE_32",35,"NS",0.055654075675697
"520","EYE_32",36,"NS",0.0487358194189899
"521","EYE_32",37,"V6",0.0405014933760566
"522","EYE_32",38,"V6",-0.0272576704345917
"523","EYE_32",39,"V6",0.0129855752914213
"524","EYE_32",40,"V6",-0.0496995139535443
"525","EYE_32",41,"V6",-0.0463977147973558
"526","EYE_32",42,"V6",-0.0276586929289646
"527","EYE_32",43,"V6",0.0156573105457893
"528","EYE_32",44,"V6",0.0679005884337105
"529","EYE_32",45,"V6",-0.0376519535645187
"530","EYE_32",46,"V6",-0.0083714828492663
"531","EYE_32",47,"V6",-0.0140267285419764
"532","EYE_32",48,"V6",0.0805443543325591
"533","EYE_32",49,"V6",-0.059022946704662
"534","EYE_32",50,"V6",-0.0520714536272792
"535","EYE_32",51,"V6",-0.00880251655247514
"536","EYE_32",52,"V6",-0.0706058570953015
"537","EYE_32",53,"V6",-0.0359132415163657
"538","EYE_32",54,"V6",-0.0489998584630754
"539","EYE_32",55,"V6",0.0497789751921059
"540","EYE_32",56,"V6",-0.0670010645965478
"541","EYE_32",57,"V6",-0.0112775763973975
"542","EYE_32",58,"V6",-0.0243651504007602
"543","EYE_32",59,"V6",-0.0616391398177417
"544","EYE_32",60,"V6",0.0016483625974613
"545","EYE_32",61,"V6",-0.00331756982224525
"546","EYE_32",62,"V6",-0.0520818186427627
"547","EYE_32",63,"V6",-0.0226608187134502
"548","EYE_32",64,"V6",0.0442208027807526
"549","EYE_32",65,"V6",0.0158565089266315
"550","EYE_32",66,"V6",-0.0116655048351161
"551","EYE_32",67,"V6",-0.0272581721865188
"552","EYE_32",68,"V6",0.0363001756321363
"553","EYE_32",69,"NS",0.0178605531018738
"554","EYE_32",70,"NS",-0.0587796882057419
"555","EYE_32",71,"NS",0.0116956144883202
"556","EYE_32",72,"NS",-0.0202326588030585
"557","EYE_32",73,"NS",0.0133066632440946
"558","EYE_32",74,"NS",0.0212439027262961
"559","EYE_32",75,"NS",-0.00969288241358721
"560","EYE_32",76,"NS",-0.0411794696723371
"561","EYE_32",77,"NS",-0.0130979510707955
"562","EYE_32",78,"NS",-0.0498757227971245
"563","EYE_32",79,"NS",-0.0789061403808159
"564","EYE_32",80,"NS",-0.0202414653104307
"565","EYE_32",81,"NS",-0.0386567997371803
"566","EYE_32",82,"NS",-0.0274963785383754
"567","EYE_32",83,"NS",0.0459292503922214
"568","EYE_32",84,"NS",0.00726561921676691
"569","EYE_32",85,"NS",0.0364031960162769
"570","EYE_32",86,"NS",0.00316859029010982
"571","EYE_32",87,"NS",0.060799957206507
"572","EYE_32",88,"NS",0.00594870075535831
"573","EYE_32",89,"NS",0.0110514678849777
"574","EYE_32",90,"NS",0.0358047192842665
"575","EYE_32",91,"NS",0.0245936820211354
"576","EYE_32",92,"NS",-0.00143980566666357
"577","EYE_32",93,"NS",0.00596837035599379
"578","EYE_32",94,"NS",-0.0117299764107552
"579","EYE_32",95,"NS",0.000448059850259938
"580","EYE_32",96,"NS",0.0165544079251676
"581","EYE_32",97,"NS",-0.019762237878666
"582","EYE_32",98,"NS",-0.0081406434006366
